x,R
0.0000000000e+00,0.0000000000e+00
1.0000000000e-04,1.9274063526e-05
2.0000000000e-04,3.8548127240e-05
3.0000000000e-04,5.7822191329e-05
4.0000000000e-04,7.7096255981e-05
5.0000000000e-04,9.6370321384e-05
6.0000000000e-04,1.1564438773e-04
7.0000000000e-04,1.3491845519e-04
8.0000000000e-04,1.5419252398e-04
9.0000000000e-04,1.7346659426e-04
1.0000000000e-03,1.9274066623e-04
1.1000000000e-03,2.1201474008e-04
1.2000000000e-03,2.3128881600e-04
1.3000000000e-03,2.5056289417e-04
1.4000000000e-03,2.6983697477e-04
1.5000000000e-03,2.8911105801e-04
1.6000000000e-03,3.0838514406e-04
1.7000000000e-03,3.2765923312e-04
1.8000000000e-03,3.4693332536e-04
1.9000000000e-03,3.6620742099e-04
2.0000000000e-03,3.8548152018e-04
2.1000000000e-03,4.0475562313e-04
2.2000000000e-03,4.2402973001e-04
2.3000000000e-03,4.4330384103e-04
2.4000000000e-03,4.6257795637e-04
2.5000000000e-03,4.8185207621e-04
2.6000000000e-03,5.0112620074e-04
2.7000000000e-03,5.2040033015e-04
2.8000000000e-03,5.3967446463e-04
2.9000000000e-03,5.5894860437e-04
3.0000000000e-03,5.7822274955e-04
3.1000000000e-03,5.9749690037e-04
3.2000000000e-03,6.1677105700e-04
3.3000000000e-03,6.3604521964e-04
3.4000000000e-03,6.5531938847e-04
3.5000000000e-03,6.7459356369e-04
3.6000000000e-03,6.9386774547e-04
3.7000000000e-03,7.1314193401e-04
3.8000000000e-03,7.3241612950e-04
3.9000000000e-03,7.5169033212e-04
4.0000000000e-03,7.7096454207e-04
4.1000000000e-03,7.9023875952e-04
4.2000000000e-03,8.0951298467e-04
4.3000000000e-03,8.2878721770e-04
4.4000000000e-03,8.4806145880e-04
4.5000000000e-03,8.6733570816e-04
4.6000000000e-03,8.8660996597e-04
4.7000000000e-03,9.0588423241e-04
4.8000000000e-03,9.2515850768e-04
4.9000000000e-03,9.4443279196e-04
5.0000000000e-03,9.6370708543e-04
5.1000000000e-03,9.8298138829e-04
5.2000000000e-03,1.0022557007e-03
5.3000000000e-03,1.0215300229e-03
5.4000000000e-03,1.0408043551e-03
5.5000000000e-03,1.0600786973e-03
5.6000000000e-03,1.0793530499e-03
5.7000000000e-03,1.0986274131e-03
5.8000000000e-03,1.1179017869e-03
5.9000000000e-03,1.1371761716e-03
6.0000000000e-03,1.1564505674e-03
6.1000000000e-03,1.1757249744e-03
6.2000000000e-03,1.1949993929e-03
6.3000000000e-03,1.2142738230e-03
6.4000000000e-03,1.2335482650e-03
6.5000000000e-03,1.2528227189e-03
6.6000000000e-03,1.2720971851e-03
6.7000000000e-03,1.2913716637e-03
6.8000000000e-03,1.3106461548e-03
6.9000000000e-03,1.3299206587e-03
7.0000000000e-03,1.3491951756e-03
7.1000000000e-03,1.3684697055e-03
7.2000000000e-03,1.3877442489e-03
7.3000000000e-03,1.4070188057e-03
7.4000000000e-03,1.4262933762e-03
7.5000000000e-03,1.4455679607e-03
7.6000000000e-03,1.4648425592e-03
7.7000000000e-03,1.4841171719e-03
7.8000000000e-03,1.5033917992e-03
7.9000000000e-03,1.5226664410e-03
8.0000000000e-03,1.5419410977e-03
8.1000000000e-03,1.5612157694e-03
8.2000000000e-03,1.5804904563e-03
8.3000000000e-03,1.5997651587e-03
8.4000000000e-03,1.6190398765e-03
8.5000000000e-03,1.6383146102e-03
8.6000000000e-03,1.6575893598e-03
8.7000000000e-03,1.6768641256e-03
8.8000000000e-03,1.6961389077e-03
8.9000000000e-03,1.7154137063e-03
9.0000000000e-03,1.7346885216e-03
9.1000000000e-03,1.7539633538e-03
9.2000000000e-03,1.7732382031e-03
9.3000000000e-03,1.7925130696e-03
9.4000000000e-03,1.8117879536e-03
9.5000000000e-03,1.8310628553e-03
9.6000000000e-03,1.8503377748e-03
9.7000000000e-03,1.8696127123e-03
9.8000000000e-03,1.8888876680e-03
9.9000000000e-03,1.9081626421e-03
1.0000000000e-02,1.9274376348e-03
1.0100000000e-02,1.9467126462e-03
1.0200000000e-02,1.9659876767e-03
1.0300000000e-02,1.9852627262e-03
1.0400000000e-02,2.0045377951e-03
1.0500000000e-02,2.0238128836e-03
1.0600000000e-02,2.0430879917e-03
1.0700000000e-02,2.0623631197e-03
1.0800000000e-02,2.0816382678e-03
1.0900000000e-02,2.1009134362e-03
1.1000000000e-02,2.1201886251e-03
1.1100000000e-02,2.1394638346e-03
1.1200000000e-02,2.1587390649e-03
1.1300000000e-02,2.1780143163e-03
1.1400000000e-02,2.1972895888e-03
1.1500000000e-02,2.2165648828e-03
1.1600000000e-02,2.2358401983e-03
1.1700000000e-02,2.2551155357e-03
1.1800000000e-02,2.2743908949e-03
1.1900000000e-02,2.2936662764e-03
1.2000000000e-02,2.3129416801e-03
1.2100000000e-02,2.3322171064e-03
1.2200000000e-02,2.3514925554e-03
1.2300000000e-02,2.3707680273e-03
1.2400000000e-02,2.3900435223e-03
1.2500000000e-02,2.4093190406e-03
1.2600000000e-02,2.4285945823e-03
1.2700000000e-02,2.4478701477e-03
1.2800000000e-02,2.4671457369e-03
1.2900000000e-02,2.4864213502e-03
1.3000000000e-02,2.5056969876e-03
1.3100000000e-02,2.5249726495e-03
1.3200000000e-02,2.5442483360e-03
1.3300000000e-02,2.5635240472e-03
1.3400000000e-02,2.5827997834e-03
1.3500000000e-02,2.6020755447e-03
1.3600000000e-02,2.6213513314e-03
1.3700000000e-02,2.6406271436e-03
1.3800000000e-02,2.6599029815e-03
1.3900000000e-02,2.6791788454e-03
1.4000000000e-02,2.6984547353e-03
1.4100000000e-02,2.7177306515e-03
1.4200000000e-02,2.7370065942e-03
1.4300000000e-02,2.7562825635e-03
1.4400000000e-02,2.7755585596e-03
1.4500000000e-02,2.7948345828e-03
1.4600000000e-02,2.8141106332e-03
1.4700000000e-02,2.8333867110e-03
1.4800000000e-02,2.8526628164e-03
1.4900000000e-02,2.8719389496e-03
1.5000000000e-02,2.8912151107e-03
1.5100000000e-02,2.9104913000e-03
1.5200000000e-02,2.9297675177e-03
1.5300000000e-02,2.9490437639e-03
1.5400000000e-02,2.9683200388e-03
1.5500000000e-02,2.9875963426e-03
1.5600000000e-02,3.0068726754e-03
1.5700000000e-02,3.0261490376e-03
1.5800000000e-02,3.0454254293e-03
1.5900000000e-02,3.0647018506e-03
1.6000000000e-02,3.0839783017e-03
1.6100000000e-02,3.1032547829e-03
1.6200000000e-02,3.1225312943e-03
1.6300000000e-02,3.1418078360e-03
1.6400000000e-02,3.1610844084e-03
1.6500000000e-02,3.1803610116e-03
1.6600000000e-02,3.1996376458e-03
1.6700000000e-02,3.2189143111e-03
1.6800000000e-02,3.2381910077e-03
1.6900000000e-02,3.2574677359e-03
1.7000000000e-02,3.2767444958e-03
1.7100000000e-02,3.2960212876e-03
1.7200000000e-02,3.3152981115e-03
1.7300000000e-02,3.3345749677e-03
1.7400000000e-02,3.3538518563e-03
1.7500000000e-02,3.3731287777e-03
1.7600000000e-02,3.3924057318e-03
1.7700000000e-02,3.4116827190e-03
1.7800000000e-02,3.4309597394e-03
1.7900000000e-02,3.4502367933e-03
1.8000000000e-02,3.4695138807e-03
1.8100000000e-02,3.4887910019e-03
1.8200000000e-02,3.5080681571e-03
1.8300000000e-02,3.5273453464e-03
1.8400000000e-02,3.5466225701e-03
1.8500000000e-02,3.5658998283e-03
1.8600000000e-02,3.5851771213e-03
1.8700000000e-02,3.6044544491e-03
1.8800000000e-02,3.6237318121e-03
1.8900000000e-02,3.6430092103e-03
1.9000000000e-02,3.6622866441e-03
1.9100000000e-02,3.6815641134e-03
1.9200000000e-02,3.7008416187e-03
1.9300000000e-02,3.7201191599e-03
1.9400000000e-02,3.7393967374e-03
1.9500000000e-02,3.7586743513e-03
1.9600000000e-02,3.7779520018e-03
1.9700000000e-02,3.7972296891e-03
1.9800000000e-02,3.8165074133e-03
1.9900000000e-02,3.8357851748e-03
2.0000000000e-02,3.8550629735e-03
2.0100000000e-02,3.8743408098e-03
2.0200000000e-02,3.8936186839e-03
2.0300000000e-02,3.9128965958e-03
2.0400000000e-02,3.9321745459e-03
2.0500000000e-02,3.9514525342e-03
2.0600000000e-02,3.9707305610e-03
2.0700000000e-02,3.9900086265e-03
2.0800000000e-02,4.0092867308e-03
2.0900000000e-02,4.0285648742e-03
2.1000000000e-02,4.0478430568e-03
2.1100000000e-02,4.0671212788e-03
2.1200000000e-02,4.0863995404e-03
2.1300000000e-02,4.1056778418e-03
2.1400000000e-02,4.1249561831e-03
2.1500000000e-02,4.1442345647e-03
2.1600000000e-02,4.1635129866e-03
2.1700000000e-02,4.1827914490e-03
2.1800000000e-02,4.2020699521e-03
2.1900000000e-02,4.2213484962e-03
2.2000000000e-02,4.2406270814e-03
2.2100000000e-02,4.2599057078e-03
2.2200000000e-02,4.2791843758e-03
2.2300000000e-02,4.2984630854e-03
2.2400000000e-02,4.3177418368e-03
2.2500000000e-02,4.3370206303e-03
2.2600000000e-02,4.3562994660e-03
2.2700000000e-02,4.3755783442e-03
2.2800000000e-02,4.3948572649e-03
2.2900000000e-02,4.4141362285e-03
2.3000000000e-02,4.4334152350e-03
2.3100000000e-02,4.4526942847e-03
2.3200000000e-02,4.4719733777e-03
2.3300000000e-02,4.4912525143e-03
2.3400000000e-02,4.5105316946e-03
2.3500000000e-02,4.5298109188e-03
2.3600000000e-02,4.5490901871e-03
2.3700000000e-02,4.5683694997e-03
2.3800000000e-02,4.5876488568e-03
2.3900000000e-02,4.6069282586e-03
2.4000000000e-02,4.6262077052e-03
2.4100000000e-02,4.6454871969e-03
2.4200000000e-02,4.6647667338e-03
2.4300000000e-02,4.6840463161e-03
2.4400000000e-02,4.7033259440e-03
2.4500000000e-02,4.7226056177e-03
2.4600000000e-02,4.7418853374e-03
2.4700000000e-02,4.7611651032e-03
2.4800000000e-02,4.7804449154e-03
2.4900000000e-02,4.7997247742e-03
2.5000000000e-02,4.8190046796e-03
2.5100000000e-02,4.8382846320e-03
2.5200000000e-02,4.8575646316e-03
2.5300000000e-02,4.8768446783e-03
2.5400000000e-02,4.8961247726e-03
2.5500000000e-02,4.9154049146e-03
2.5600000000e-02,4.9346851044e-03
2.5700000000e-02,4.9539653422e-03
2.5800000000e-02,4.9732456283e-03
2.5900000000e-02,4.9925259628e-03
2.6000000000e-02,5.0118063459e-03
2.6100000000e-02,5.0310867778e-03
2.6200000000e-02,5.0503672587e-03
2.6300000000e-02,5.0696477887e-03
2.6400000000e-02,5.0889283681e-03
2.6500000000e-02,5.1082089971e-03
2.6600000000e-02,5.1274896758e-03
2.6700000000e-02,5.1467704044e-03
2.6800000000e-02,5.1660511831e-03
2.6900000000e-02,5.1853320121e-03
2.7000000000e-02,5.2046128916e-03
2.7100000000e-02,5.2238938217e-03
2.7200000000e-02,5.2431748027e-03
2.7300000000e-02,5.2624558348e-03
2.7400000000e-02,5.2817369181e-03
2.7500000000e-02,5.3010180528e-03
2.7600000000e-02,5.3202992391e-03
2.7700000000e-02,5.3395804772e-03
2.7800000000e-02,5.3588617673e-03
2.7900000000e-02,5.3781431096e-03
2.8000000000e-02,5.3974245042e-03
2.8100000000e-02,5.4167059514e-03
2.8200000000e-02,5.4359874513e-03
2.8300000000e-02,5.4552690041e-03
2.8400000000e-02,5.4745506100e-03
2.8500000000e-02,5.4938322693e-03
2.8600000000e-02,5.5131139820e-03
2.8700000000e-02,5.5323957483e-03
2.8800000000e-02,5.5516775686e-03
2.8900000000e-02,5.5709594429e-03
2.9000000000e-02,5.5902413714e-03
2.9100000000e-02,5.6095233543e-03
2.9200000000e-02,5.6288053919e-03
2.9300000000e-02,5.6480874842e-03
2.9400000000e-02,5.6673696315e-03
2.9500000000e-02,5.6866518340e-03
2.9600000000e-02,5.7059340919e-03
2.9700000000e-02,5.7252164053e-03
2.9800000000e-02,5.7444987744e-03
2.9900000000e-02,5.7637811995e-03
3.0000000000e-02,5.7830636806e-03
3.0100000000e-02,5.8023462181e-03
3.0200000000e-02,5.8216288121e-03
3.0300000000e-02,5.8409114627e-03
3.0400000000e-02,5.8601941702e-03
3.0500000000e-02,5.8794769347e-03
3.0600000000e-02,5.8987597564e-03
3.0700000000e-02,5.9180426356e-03
3.0800000000e-02,5.9373255724e-03
3.0900000000e-02,5.9566085670e-03
3.1000000000e-02,5.9758916196e-03
3.1100000000e-02,5.9951747303e-03
3.1200000000e-02,6.0144578994e-03
3.1300000000e-02,6.0337411270e-03
3.1400000000e-02,6.0530244134e-03
3.1500000000e-02,6.0723077587e-03
3.1600000000e-02,6.0915911631e-03
3.1700000000e-02,6.1108746268e-03
3.1800000000e-02,6.1301581500e-03
3.1900000000e-02,6.1494417329e-03
3.2000000000e-02,6.1687253756e-03
3.2100000000e-02,6.1880090784e-03
3.2200000000e-02,6.2072928414e-03
3.2300000000e-02,6.2265766648e-03
3.2400000000e-02,6.2458605489e-03
3.2500000000e-02,6.2651444937e-03
3.2600000000e-02,6.2844284995e-03
3.2700000000e-02,6.3037125665e-03
3.2800000000e-02,6.3229966948e-03
3.2900000000e-02,6.3422808847e-03
3.3000000000e-02,6.3615651364e-03
3.3100000000e-02,6.3808494499e-03
3.3200000000e-02,6.4001338256e-03
3.3300000000e-02,6.4194182635e-03
3.3400000000e-02,6.4387027640e-03
3.3500000000e-02,6.4579873271e-03
3.3600000000e-02,6.4772719531e-03
3.3700000000e-02,6.4965566421e-03
3.3800000000e-02,6.5158413943e-03
3.3900000000e-02,6.5351262100e-03
3.4000000000e-02,6.5544110893e-03
3.4100000000e-02,6.5736960324e-03
3.4200000000e-02,6.5929810394e-03
3.4300000000e-02,6.6122661107e-03
3.4400000000e-02,6.6315512463e-03
3.4500000000e-02,6.6508364464e-03
3.4600000000e-02,6.6701217113e-03
3.4700000000e-02,6.6894070411e-03
3.4800000000e-02,6.7086924360e-03
3.4900000000e-02,6.7279778962e-03
3.5000000000e-02,6.7472634219e-03
3.5100000000e-02,6.7665490133e-03
3.5200000000e-02,6.7858346705e-03
3.5300000000e-02,6.8051203938e-03
3.5400000000e-02,6.8244061833e-03
3.5500000000e-02,6.8436920392e-03
3.5600000000e-02,6.8629779617e-03
3.5700000000e-02,6.8822639510e-03
3.5800000000e-02,6.9015500074e-03
3.5900000000e-02,6.9208361308e-03
3.6000000000e-02,6.9401223217e-03
3.6100000000e-02,6.9594085801e-03
3.6200000000e-02,6.9786949062e-03
3.6300000000e-02,6.9979813002e-03
3.6400000000e-02,7.0172677624e-03
3.6500000000e-02,7.0365542928e-03
3.6600000000e-02,7.0558408918e-03
3.6700000000e-02,7.0751275594e-03
3.6800000000e-02,7.0944142958e-03
3.6900000000e-02,7.1137011013e-03
3.7000000000e-02,7.1329879761e-03
3.7100000000e-02,7.1522749202e-03
3.7200000000e-02,7.1715619340e-03
3.7300000000e-02,7.1908490176e-03
3.7400000000e-02,7.2101361711e-03
3.7500000000e-02,7.2294233948e-03
3.7600000000e-02,7.2487106889e-03
3.7700000000e-02,7.2679980535e-03
3.7800000000e-02,7.2872854889e-03
3.7900000000e-02,7.3065729952e-03
3.8000000000e-02,7.3258605725e-03
3.8100000000e-02,7.3451482212e-03
3.8200000000e-02,7.3644359414e-03
3.8300000000e-02,7.3837237332e-03
3.8400000000e-02,7.4030115969e-03
3.8500000000e-02,7.4222995326e-03
3.8600000000e-02,7.4415875406e-03
3.8700000000e-02,7.4608756210e-03
3.8800000000e-02,7.4801637740e-03
3.8900000000e-02,7.4994519997e-03
3.9000000000e-02,7.5187402985e-03
3.9100000000e-02,7.5380286704e-03
3.9200000000e-02,7.5573171157e-03
3.9300000000e-02,7.5766056346e-03
3.9400000000e-02,7.5958942271e-03
3.9500000000e-02,7.6151828936e-03
3.9600000000e-02,7.6344716342e-03
3.9700000000e-02,7.6537604491e-03
3.9800000000e-02,7.6730493385e-03
3.9900000000e-02,7.6923383025e-03
4.0000000000e-02,7.7116273414e-03
4.0100000000e-02,7.7309164553e-03
4.0200000000e-02,7.7502056445e-03
4.0300000000e-02,7.7694949091e-03
4.0400000000e-02,7.7887842493e-03
4.0500000000e-02,7.8080736653e-03
4.0600000000e-02,7.8273631572e-03
4.0700000000e-02,7.8466527254e-03
4.0800000000e-02,7.8659423698e-03
4.0900000000e-02,7.8852320909e-03
4.1000000000e-02,7.9045218886e-03
4.1100000000e-02,7.9238117633e-03
4.1200000000e-02,7.9431017151e-03
4.1300000000e-02,7.9623917442e-03
4.1400000000e-02,7.9816818507e-03
