epoch,loss
0,0.042987968772649765
1,0.004530064761638641
2,0.0007689343765377998
3,0.0003350703336764127
4,0.0001580513344379142
5,8.84190812939778e-05
6,6.440951256081462e-05
7,5.903172859689221e-05
8,5.093634172226302e-05
9,4.7965299017960206e-05
10,4.260379864717834e-05
11,3.9546401239931583e-05
12,3.848536289297044e-05
13,3.716115315910429e-05
14,3.482473039184697e-05
15,3.2434050808660686e-05
16,2.9285412892932072e-05
17,2.6357671231380664e-05
18,2.4707447664695792e-05
19,2.3515138309448957e-05
20,2.2199046725290827e-05
21,2.0074179701623507e-05
22,1.7980855773203075e-05
23,1.682184483797755e-05
24,1.4680812455480918e-05
25,1.2301133210712578e-05
26,1.092897764465306e-05
27,1.0638354069669731e-05
28,1.0637595551088452e-05
29,1.0261751413054299e-05
30,8.774592970439699e-06
31,8.573179911763873e-06
32,7.739676220808178e-06
33,7.480225576728117e-06
34,7.246004770422587e-06
35,6.9032480496389326e-06
36,6.035378646629397e-06
37,5.682878509105649e-06
38,5.518375019164523e-06
39,5.029133717471268e-06
40,4.81474080515909e-06
41,4.6137042772897985e-06
42,4.612750217347639e-06
43,4.6042878238949925e-06
44,4.6035106606723275e-06
45,4.602630724548362e-06
46,4.205080585961696e-06
47,3.930688762920909e-06
48,3.929790636902908e-06
49,3.852556346828351e-06
50,3.8414495975303e-06
51,3.831491085293237e-06
52,3.7021911793999607e-06
53,3.404748440516414e-06
54,3.272413778176997e-06
55,3.268141654189094e-06
56,3.0179248824424576e-06
57,2.8442811981221894e-06
58,2.6139225610677386e-06
59,2.5719409677549265e-06
60,2.5428278149774997e-06
61,2.459144980093697e-06
62,2.458344170008786e-06
63,2.456838501530001e-06
64,2.2855242605146486e-06
65,1.9786305074376287e-06
66,1.9723051991604734e-06
67,1.963848944797064e-06
68,1.8869627638196107e-06
69,1.8381581412540982e-06
70,1.821864998419187e-06
71,1.8089677951138583e-06
72,1.8080093013850274e-06
73,1.806385739655525e-06
74,1.806385739655525e-06
75,1.806385739655525e-06
76,1.806385739655525e-06
77,1.806385739655525e-06
78,1.806385739655525e-06
79,1.806385739655525e-06
80,1.806385739655525e-06
81,1.806385739655525e-06
82,1.806385739655525e-06
83,1.806385739655525e-06
84,1.806385739655525e-06
85,1.806385739655525e-06
86,1.806385739655525e-06
87,1.806385739655525e-06
88,1.806385739655525e-06
89,1.806385739655525e-06
90,1.806385739655525e-06
91,1.806385739655525e-06
92,1.806385739655525e-06
93,1.806385739655525e-06
94,1.806385739655525e-06
95,1.806385739655525e-06
96,1.806385739655525e-06
97,1.806385739655525e-06
98,1.806385739655525e-06
99,1.806385739655525e-06
100,1.806385739655525e-06
101,1.806385739655525e-06
102,1.806385739655525e-06
103,1.806385739655525e-06
104,1.806385739655525e-06
105,1.806385739655525e-06
106,1.806385739655525e-06
107,1.806385739655525e-06
108,1.806385739655525e-06
109,1.806385739655525e-06
110,1.806385739655525e-06
111,1.806385739655525e-06
112,1.806385739655525e-06
113,1.806385739655525e-06
114,1.806385739655525e-06
115,1.806385739655525e-06
116,1.806385739655525e-06
117,1.806385739655525e-06
118,1.806385739655525e-06
119,1.806385739655525e-06
120,1.806385739655525e-06
121,1.806385739655525e-06
122,1.806385739655525e-06
123,1.806385739655525e-06
124,1.806385739655525e-06
125,1.806385739655525e-06
126,1.806385739655525e-06
127,1.806385739655525e-06
128,1.806385739655525e-06
129,1.806385739655525e-06
130,1.806385739655525e-06
131,1.806385739655525e-06
132,1.806385739655525e-06
133,1.806385739655525e-06
134,1.806385739655525e-06
135,1.806385739655525e-06
136,1.806385739655525e-06
137,1.806385739655525e-06
138,1.806385739655525e-06
139,1.806385739655525e-06
140,1.806385739655525e-06
141,1.806385739655525e-06
142,1.806385739655525e-06
143,1.806385739655525e-06
144,1.806385739655525e-06
145,1.806385739655525e-06
146,1.806385739655525e-06
147,1.806385739655525e-06
148,1.806385739655525e-06
149,1.806385739655525e-06
150,1.806385739655525e-06
151,1.806385739655525e-06
152,1.806385739655525e-06
153,1.806385739655525e-06
154,1.806385739655525e-06
155,1.806385739655525e-06
156,1.806385739655525e-06
157,1.806385739655525e-06
158,1.806385739655525e-06
159,1.806385739655525e-06
160,1.806385739655525e-06
161,1.806385739655525e-06
162,1.806385739655525e-06
163,1.806385739655525e-06
164,1.806385739655525e-06
165,1.806385739655525e-06
166,1.806385739655525e-06
167,1.806385739655525e-06
168,1.806385739655525e-06
169,1.806385739655525e-06
170,1.806385739655525e-06
171,1.806385739655525e-06
172,1.806385739655525e-06
173,1.806385739655525e-06
