epoch,loss
0,6.330365431495011e-05
1,6.166999082779512e-05
2,5.8676178014138713e-05
3,5.387949931900948e-05
4,5.159021384315565e-05
5,5.110914207762107e-05
6,5.086055534775369e-05
7,5.0618498789845034e-05
8,5.0513208407210186e-05
9,5.045388752478175e-05
10,5.042962220613845e-05
11,5.042154953116551e-05
12,5.0421542255207896e-05
13,5.0421542255207896e-05
14,5.0421542255207896e-05
15,5.0421542255207896e-05
16,5.0421542255207896e-05
17,5.0421542255207896e-05
18,5.0421542255207896e-05
19,5.0421542255207896e-05
20,5.0421542255207896e-05
21,5.0421542255207896e-05
